url_length,url_special_characters,url_tag_script,url_tag_iframe,url_attr_src,url_event_onload,url_event_onmouseover,url_cookie,url_number_keywords_param,url_number_domain,html_tag_script,html_tag_iframe,html_tag_meta,html_tag_object,html_tag_embed,html_tag_link,html_tag_svg,html_tag_frame,html_tag_form,html_tag_div,html_tag_style,html_tag_img,html_tag_input,html_tag_textarea,html_attr_action,html_attr_background,html_attr_classid,html_attr_codebase,html_attr_href,html_attr_longdesc,html_attr_profile,html_attr_src,html_attr_usemap,html_attr_http-equiv,html_event_onblur,html_event_onchange,html_event_onclick,html_event_onerror,html_event_onfocus,html_event_onkeydown,html_event_onkeypress,html_event_onkeyup,html_event_onload,html_event_onmousedown,html_event_onmouseout,html_event_onmouseover,html_event_onmouseup,html_event_onsubmit,html_number_keywords_evil,js_file,js_pseudo_protocol,js_dom_location,js_dom_document,js_prop_cookie,js_prop_referrer,js_method_write,js_method_getElementsByTagName,js_method_getElementById,js_method_alert,js_method_eval,js_method_fromCharCode,js_method_confirm,js_min_length,js_min_define_function,js_min_function_calls,js_string_max_length,html_length,Class
288,1,1,0,0,0,0,0,1,4,21,0,18,0,0,7,0,0,1,31,0,3,6,0,1,0,0,0,60,0,0,13,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,13,1,1,0,3,0,0,0,0,0,0,0,0,0,26,0,0,376,17896,1
83,1,1,0,0,0,0,0,1,1,15,0,11,0,0,4,0,0,4,38,0,17,12,0,4,0,0,0,74,0,0,25,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,3,0,0,1,1,0,1,0,0,0,23,0,0,564,20187,1
195,1,0,0,1,0,0,0,1,2,13,0,1,0,0,1,0,0,5,175,1,25,19,0,3,0,0,0,90,0,0,34,0,1,1,3,0,17,1,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,1,0,0,0,0,0,0,7,0,0,444,47117,1
182,1,1,0,0,0,0,0,1,1,24,0,2,0,0,1,0,0,3,20,1,75,30,0,3,2,0,0,42,0,0,89,0,1,0,0,0,0,0,0,0,0,1,0,14,14,0,0,4,1,1,1,10,5,0,0,0,0,1,0,0,0,18,0,0,740,39070,1
149,1,1,0,0,0,0,1,0,3,7,0,3,0,0,3,0,0,0,8,0,1,0,0,0,0,0,0,51,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,0,0,1,0,1,0,0,0,22,0,1,434,14773,1
102,1,1,0,1,0,0,0,1,2,6,0,1,0,0,2,0,0,1,0,0,12,3,0,1,3,0,0,3,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,0,0,0,0,0,1,0,0,0,7,0,1,199,8166,1
153,1,1,0,0,0,0,0,0,1,3,0,4,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,3,1,0,0,0,14,0,1,487,2142,1
130,1,1,0,0,0,0,0,1,1,4,0,1,0,0,3,0,0,6,37,0,0,34,0,6,0,0,0,78,0,0,2,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,11,0,1,39,25307,1
89,1,0,1,1,0,0,0,0,2,4,1,1,1,1,1,0,0,3,2,2,8,5,0,3,3,1,1,11,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,4,0,0,0,1,0,2,0,0,0,58,0,2,491,9931,1
52,1,0,0,0,0,1,0,0,1,20,4,9,3,3,5,0,0,2,247,6,121,9,0,1,0,3,3,99,0,0,135,0,1,0,0,73,0,0,0,1,0,0,0,3,29,0,0,0,1,0,0,3,0,0,1,1,2,0,0,0,0,27,0,0,868,64075,1
106,1,1,0,1,0,0,0,1,2,5,0,4,0,0,6,0,0,4,1,0,61,51,3,4,6,0,0,24,0,0,68,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34507,1
122,0,0,0,1,0,0,0,0,2,0,0,1,0,0,1,0,0,1,3,0,23,2,0,1,0,0,0,32,0,0,23,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12949,1
77,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0,1,14,394,1
124,1,1,0,0,0,0,1,0,2,3,0,9,0,0,1,0,0,1,12,1,1,2,0,1,0,0,0,15,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,1,0,0,0,22,0,1,375,4038,1
91,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,1,10,788,1
80,1,1,0,0,0,0,0,0,1,5,0,1,0,0,2,0,0,3,4,0,74,7,0,3,7,0,0,54,0,0,78,0,1,0,1,0,0,0,0,0,0,0,0,11,11,0,0,0,1,1,1,8,0,1,0,0,2,1,1,0,0,8,0,1,1964,17422,1
89,1,1,0,0,0,0,0,0,2,11,0,0,0,0,2,0,0,2,7,0,4,2,1,1,0,0,0,37,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,20,0,0,209,9054,1
69,1,1,0,0,0,0,0,0,1,86,0,3,0,0,3,0,0,4,162,0,6,24,0,4,0,0,0,239,0,0,12,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,11,0,0,1,1,8,1,0,0,0,10,0,0,6097,73695,1
116,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,21,5,0,0,0,0,0,3,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,10,0,1,14,4989,1
126,1,1,0,0,0,0,1,1,2,3,0,1,0,0,2,0,0,5,0,0,6,11,0,5,0,0,0,44,0,0,10,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,1,1,0,0,0,0,1,0,0,0,22,0,0,184,68635,1
73,1,1,0,0,0,0,0,0,1,5,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,2,0,2,1,0,0,0,15,0,1,1876,5665,1
82,1,1,0,0,0,0,0,2,1,6,0,1,0,0,1,0,0,2,104,0,19,9,0,2,0,0,0,27,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,1,0,4,1,0,0,0,12,0,1,654,10512,1
156,1,1,0,0,0,0,1,1,2,3,0,0,0,0,1,0,0,1,0,0,9,6,0,1,0,0,0,12,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,2,4,2,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,22,0,1,1351,6681,1
85,1,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1301,1
78,1,1,0,1,0,0,0,0,1,6,0,3,0,0,1,0,0,2,4,1,47,7,0,2,0,0,0,81,0,0,47,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,14,0,1,352,24080,1
90,1,1,0,0,0,0,1,0,2,20,0,1,0,0,2,0,0,2,25,2,16,8,0,2,0,0,0,11,0,0,18,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,11,1,0,1,0,3,1,0,0,0,22,0,1,3571,12897,1
130,1,1,0,0,0,0,0,2,1,4,0,4,0,0,1,0,0,2,8,2,31,8,0,2,19,0,0,93,0,0,31,0,2,0,0,0,0,0,0,0,0,0,0,21,21,0,0,0,0,0,1,4,0,0,0,1,2,1,0,0,0,8,0,1,725,26729,1
81,1,1,0,0,0,0,0,2,1,3,0,2,0,0,2,0,0,1,3,0,0,6,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,1,1,0,0,0,13,0,1,125,4456,1
265,1,1,0,0,0,0,0,0,3,5,0,1,0,0,1,0,0,1,5,1,2,8,0,1,0,0,0,3,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,1,1,24,0,1,0,0,17,9,0,0,0,13,0,1,6709,9260,1
97,1,1,0,0,0,0,1,0,2,7,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,1,0,0,1,0,1,0,0,0,22,0,1,491,44159,1
173,1,1,0,0,0,0,1,0,2,19,0,5,0,0,5,0,0,3,1,0,49,8,0,3,1,0,0,104,0,0,53,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,11,6,3,5,0,0,1,0,0,0,18,0,0,1798,31841,1
170,1,1,0,0,0,0,0,1,3,3,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21,0,1,21,2759,1
114,1,0,0,0,0,0,0,0,1,9,0,1,0,0,4,0,0,1,27,3,4,1,0,1,0,0,0,41,0,0,9,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,2,0,1,0,0,82,0,1,532,18700,1
142,1,1,0,0,0,0,1,1,2,3,0,0,0,0,1,0,0,1,0,0,9,6,0,1,1,0,0,10,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,2,4,2,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,22,0,1,1351,6707,1
127,1,1,0,0,0,0,0,0,1,11,0,1,0,0,0,0,0,0,4,2,7,0,0,0,10,0,0,19,0,0,8,1,1,0,0,1,0,0,0,0,0,0,0,3,3,0,0,8,1,1,1,11,0,0,3,1,7,0,3,0,0,1,0,0,1960,21229,1
99,1,0,0,0,0,0,0,1,1,7,0,1,1,1,5,0,0,2,10,4,20,4,0,2,22,1,1,69,0,0,25,3,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,64,0,1,319,28222,1
108,1,1,0,0,0,0,0,1,1,4,0,1,0,0,1,0,0,1,1,0,23,1,0,1,5,0,0,13,0,0,25,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,9,0,0,1,0,4,1,0,0,0,11,0,1,1791,8631,1
84,1,1,0,0,0,0,0,0,1,10,0,1,0,0,1,0,0,0,22,0,21,0,0,0,0,0,0,28,0,0,22,0,1,0,0,0,0,0,0,0,0,1,0,9,9,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,16,0,1,16,15155,1
375,1,1,0,0,0,0,0,1,2,11,0,1,0,0,3,0,0,1,17,0,1,6,0,1,0,0,0,17,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,15,0,1,15,7793,1
123,1,1,0,1,0,0,0,1,2,17,1,1,0,0,0,0,0,1,3,0,0,1,0,1,0,0,0,0,0,0,10,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,18,1,0,0,3,0,1,0,0,0,0,0,0,0,42,0,0,228,84062,1
307,1,1,0,0,0,0,0,1,6,3,0,0,0,0,0,0,0,1,0,1,7,3,0,1,0,0,0,12,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,5,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,41,0,2,42,6277,1
112,1,1,0,0,0,0,0,2,3,26,0,5,0,0,6,0,0,1,26,0,45,4,0,1,0,0,0,40,0,0,55,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,1,2,1,0,1,0,0,0,28,0,0,771,25123,1
92,1,1,0,0,0,0,0,1,1,12,0,4,0,0,0,0,0,2,2,0,8,17,0,2,0,0,0,47,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,17,0,0,346,16301,1
135,1,1,0,0,0,0,1,1,2,8,0,10,0,0,8,0,0,1,14,0,3,1,0,1,0,0,0,16,0,0,7,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,7,1,0,0,0,2,1,0,0,0,22,0,1,1069,5899,1
114,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,1
102,1,1,0,0,0,0,0,0,1,29,3,7,1,1,9,0,0,3,0,1,296,25,0,2,4,1,1,121,0,0,305,0,7,0,1,7,0,0,0,0,0,1,0,20,20,0,1,0,1,0,0,12,2,1,2,0,0,1,0,0,0,8,0,0,806,85731,1
138,1,1,0,0,0,0,0,1,1,19,0,11,0,0,8,0,0,1,1,0,179,7,0,1,12,0,0,76,0,0,182,0,1,0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,1,1,1,9,0,1,1,1,7,1,0,0,0,8,0,0,941,49866,1
120,1,1,0,0,0,0,0,0,1,22,0,3,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,4,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,1,0,0,0,0,0,0,0,1,0,0,0,18,0,1,119,10145,1
130,1,1,0,0,0,0,0,1,1,7,0,3,0,0,2,0,0,3,5,0,13,11,0,2,0,0,0,39,0,0,14,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5,2,0,0,0,0,0,1,0,0,0,14,0,1,815,17874,1
91,1,1,0,0,0,0,1,0,2,9,0,8,0,0,3,0,0,1,41,0,8,2,0,1,0,0,0,72,0,0,13,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2,1,1,0,0,0,0,1,0,0,0,23,0,1,1423,18507,1
92,1,1,0,0,0,0,0,0,1,18,0,22,2,2,2,0,0,0,14,2,18,0,0,0,2,2,2,17,0,0,20,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,2,2,0,0,0,17,0,0,1427,19565,1
131,1,1,0,0,0,0,1,0,2,6,0,2,0,0,1,0,0,2,77,0,29,14,1,2,0,0,0,4,0,0,29,0,2,5,1,18,0,5,1,0,0,0,0,0,0,0,0,3,0,1,0,5,1,0,0,0,4,4,1,0,0,22,0,1,3346,27390,1
243,1,1,0,0,0,0,0,2,1,23,0,1,0,0,1,0,0,2,7,1,26,15,0,0,14,0,0,48,0,0,30,0,1,0,0,2,0,0,1,2,1,0,0,0,0,0,0,17,1,1,0,9,7,0,0,2,6,3,4,0,0,11,0,0,2866,30754,1
122,1,1,0,0,0,0,0,0,1,6,0,3,0,0,1,0,0,1,0,0,24,0,0,1,2,0,0,24,0,0,27,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,7,0,0,42,21546,1
52,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,1,50,1,9,2,0,1,0,0,0,24,0,0,13,0,0,0,0,8,0,0,0,0,0,0,0,8,8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,19,0,0,31,8709,1
105,1,1,0,0,0,0,0,0,1,5,0,1,0,0,1,0,0,1,3,0,34,16,0,1,1,0,0,3,0,0,37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,10,0,0,0,0,0,1,0,0,0,12,0,1,1451,12307,1
93,1,1,0,1,0,0,0,0,2,10,0,2,0,0,3,0,0,1,4,0,4,3,0,1,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,143,0,0,260,6522,1
177,1,0,0,0,0,0,0,1,1,4,0,0,0,0,1,0,0,1,1,0,1,4,0,1,1,0,0,14,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,1,0,0,0,0,302,0,0,517,4570,1
137,1,1,0,1,0,0,0,0,2,2,0,3,3,3,2,0,0,1,6,0,6,3,0,1,15,3,3,56,0,0,10,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,3,0,0,0,0,0,1,0,0,0,280,2,4,280,22887,1
140,1,1,0,0,0,0,1,1,3,5,0,1,0,0,1,0,0,1,15,0,1,2,0,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2,1,0,1,0,0,1,0,0,0,22,0,1,220,2948,1
98,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,4,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,14,0,1,18,2054,1
95,1,1,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,0,1,16,3632,1
112,1,1,0,0,0,0,0,0,1,17,0,12,1,0,2,0,0,0,1,1,35,0,0,0,0,0,0,74,0,0,40,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7,0,0,1,1,2,1,1,0,0,32,0,1,1055,39456,1
177,1,1,0,0,0,0,0,1,2,9,0,8,0,0,2,0,0,2,2,0,32,4,0,2,1,0,0,28,0,0,35,0,1,0,0,3,0,0,0,0,0,0,0,5,5,0,1,0,1,1,0,3,0,0,1,1,0,1,0,1,0,8,0,0,808,26643,1
97,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,0,1,22,294,1
129,1,1,0,1,0,0,0,1,2,15,0,3,0,0,5,0,0,3,13,0,1,9,0,3,0,0,0,23,0,0,16,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,39,0,1,373,8921,1
529,1,1,1,1,0,0,0,0,3,8,5,7,2,2,1,0,0,1,14,6,62,3,0,0,0,2,2,45,0,0,71,0,2,1,0,60,0,1,0,0,0,1,0,73,73,0,0,5,1,1,0,1,0,0,0,0,0,1,0,0,0,15,0,0,25,35846,1
77,1,1,0,0,0,0,0,1,1,11,0,16,0,0,1,0,0,1,1,1,21,2,0,1,0,0,0,40,0,0,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,1,0,1,0,0,0,10,0,0,491,37317,1
119,1,1,0,0,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,0,1,22,1206,1
116,1,0,0,1,0,0,0,0,1,15,0,1,0,0,5,0,0,1,23,0,49,2,0,1,1,0,0,125,0,0,56,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,108,0,0,1307,37283,1
105,1,1,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,2,1,0,1,0,0,0,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,12,0,1,12,1100,1
137,1,1,0,0,0,0,1,0,2,7,0,4,0,0,2,0,0,0,2,0,17,0,0,0,4,0,0,13,0,0,17,0,2,0,0,2,0,0,0,0,0,0,0,8,8,0,0,0,0,1,0,2,1,0,0,0,0,1,0,0,0,10,0,0,1312,9992,1
235,1,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,28,0,1,28,421,1
90,1,1,0,0,0,0,0,0,1,5,0,1,0,0,0,0,0,0,2,1,12,0,0,0,0,0,0,15,0,0,12,2,1,0,0,0,0,0,0,0,0,0,0,6,6,0,0,1,0,0,1,2,0,0,1,1,0,1,2,0,0,15,0,1,2790,13768,1
88,1,1,0,0,0,0,0,2,1,6,0,1,0,0,3,0,0,1,7,0,1,3,0,1,0,0,0,11,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,3,1,0,0,0,10,0,1,465,2911,1
87,1,1,0,0,0,0,0,1,1,11,1,5,0,0,2,0,0,4,28,0,7,20,0,3,0,0,0,54,0,0,13,0,1,0,0,2,0,2,0,0,0,1,0,2,2,0,1,0,1,0,1,4,1,1,1,0,0,1,0,0,0,10,0,0,555,15789,1
101,1,1,0,0,0,0,0,0,1,54,3,25,1,1,5,0,0,7,56,3,238,22,0,7,45,1,1,87,1,0,247,0,14,0,1,5,0,6,0,0,0,0,0,1,1,0,3,0,1,1,1,4,0,0,1,1,2,1,1,0,0,14,0,0,714,85717,1
193,1,1,0,0,0,0,0,1,1,22,1,6,0,0,5,0,0,2,236,4,12,86,0,2,0,0,0,80,0,0,22,0,2,0,0,89,0,0,0,0,0,0,0,0,0,0,2,9,1,1,1,4,0,0,1,0,4,1,0,0,0,7,0,0,558,46331,1
126,1,1,0,0,0,0,0,0,1,4,1,2,0,0,0,0,0,2,14,2,4,4,0,1,0,0,0,22,0,0,7,0,1,0,1,21,0,0,0,0,0,1,0,20,20,0,1,6,1,0,0,3,0,0,0,1,0,1,0,0,0,26,0,1,532,21328,1
123,1,1,0,0,0,0,1,0,2,10,0,2,0,0,14,0,0,2,50,0,40,6,0,2,0,0,0,69,0,0,45,0,1,0,6,4,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,9,1,0,0,0,9,1,0,0,0,10,0,0,1316,26138,1
93,1,1,0,0,0,0,0,0,1,6,0,0,0,0,3,0,0,1,14,0,8,3,0,1,0,0,0,42,0,0,11,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,15,1,1,0,0,0,0,0,0,0,1,0,0,0,12,0,1,47,8673,1
84,1,1,0,0,0,0,1,0,2,3,0,6,1,1,3,0,0,1,50,1,41,4,0,1,0,1,1,52,0,0,43,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,22,0,1,316,20462,1
